,name,count,senkou_cos_similarity_avg,teian_cos_similarity_avg,up_count,down_count,judg
63,tomato,21,0.072683255565131,0.07875587028406915,7,3,up
54,potato,19,0.0892165623188607,0.10976334644702117,0,1,down
44,onion,18,0.11032236714123024,0.13440843852650788,7,5,up
8,broccoli,17,0.05396792960955816,0.07616828837746974,2,0,up
12,carrot,15,0.1162520192253093,0.1392850278566281,6,3,up
30,grapefruit,14,0.024160747133594538,0.05673690909420007,2,1,up
31,green pepper,13,0.05385213033654369,0.06611912339352645,8,1,up
15,celery,13,0.07264621584461285,0.08091226162818763,1,0,up
60,squid,13,0.07197307831106278,0.0872614412353589,12,5,up
59,shrimp,12,0.11084647787113984,0.11173735962559779,1,0,up
53,pork,12,0.05104932406296333,0.07558913870404164,9,1,up
56,salmon,12,0.03932433024359246,0.03847109034541063,1,0,up
2,asparagus,12,0.020984799523527425,0.026213680248474702,12,3,up
33,mackerel,12,0.07822157659878333,0.06995276951541503,1,0,up
24,cucumber,11,0.07649782779414883,0.09648784906180068,8,2,up
21,coriander,11,0.03282646665518934,0.05754801681773229,7,6,up
32,lettuce,11,0.04646108964119445,0.053100121732727115,4,4,up
51,plum,11,0.018778433959761805,0.047194324476136404,0,3,down
50,pineapple,11,0.008060143498534506,0.026958616958423096,1,0,up
22,corn,11,0.07241162691604007,0.09591262110254982,4,0,up
26,eel,10,0.07149126082658767,0.04436047775670886,3,1,up
0,almond,10,-0.014304556045681238,0.01589322630316019,10,1,up
36,milk,10,0.07711312645114958,0.07575377634493634,9,2,up
29,garlic,10,0.06278349836356938,0.07438950454816222,8,1,up
39,mushroom,10,0.06139020603150129,0.07736666207201778,8,3,up
10,cabbage,10,0.07392644407227636,0.0965373948616616,1,0,up
14,cauliflower,10,0.043137880973517895,0.08053609603084624,3,7,down
42,octopus,9,0.09691846228411628,0.08461139092428817,7,2,up
43,olive oil,9,0.05299937463779417,0.03808794537973073,4,2,up
23,crab,9,0.03663329686969519,0.05396316858888087,6,4,up
27,eggplant,9,0.06685287667399582,0.09890110645857123,12,2,up
58,sardine,9,0.02307822136208415,0.012879704823717475,9,4,up
6,beef,9,0.055289925567598805,0.07520887638545698,7,4,up
4,banana,9,0.031021023220900033,0.04898733185190293,5,7,down
55,rice,8,0.09505639015696943,0.10686546564102173,2,1,up
16,cheese,8,0.04780665843281895,0.05115299311000854,3,0,up
61,sweet potato,8,0.03560934428242035,0.039012132794596255,5,5,down
67,wine,8,0.04102268535643816,0.05630808253772557,2,0,up
28,flounder,6,0.1303610592149198,0.14572499971836805,3,0,up
46,parsley,6,0.04592619199926654,0.05936027582113942,7,3,up
66,watermelon,6,0.16549773110697666,0.1663055777316913,1,0,up
20,coffee,4,0.030643219128251076,0.05175636988133192,2,0,up
19,cocoa,4,0.06408632773673162,0.10446441918611526,4,5,down
52,pomegranate,3,-0.010250307930012545,0.03861732315272093,1,8,down
62,tofu,3,0.10285715200006962,0.13150340567032495,13,5,up
49,pepper,3,0.059368007040272154,0.07409219381709893,2,0,up
34,mango,3,0.05003744146476189,0.059649538403997816,5,1,up
38,miso,3,0.16571944952011108,0.2007464940349261,0,1,down
35,melon,3,0.013269133244951567,0.04405545831347505,1,1,up
5,basil,3,0.07856125322480996,0.10664613482852776,2,1,up
17,chicken meat,3,0.055809797098239265,0.047153656681378685,9,2,up
68,zucchini,2,0.2708052396774292,0.2770889326930046,9,2,up
45,paprika,2,0.019101151265203953,0.041139909997582436,3,0,up
41,nutmeg,2,0.1773221732582897,0.23034409619867802,8,4,up
3,avocado,2,0.024540817830711603,0.032503113805432804,15,4,up
37,mint,2,0.15609948802739382,0.17264795303344727,4,4,up
48,peach,2,0.01896962197497487,0.023197021335363388,8,4,down
9,butter,1,-0.015180052258074284,-0.0036760568618774414,0,1,down
65,vinegar,1,0.2414998710155487,0.14425604045391083,4,5,down
64,tuna,1,0.07919512689113617,0.0930161103606224,7,5,up
7,blueberry,1,0.001977912848815322,0.027626125141978264,10,3,up
47,pasta,1,0.06051740422844887,0.05501138046383858,5,3,up
11,cardamom,1,-0.035314131528139114,-0.006097701378166676,3,0,up
13,catfish,1,0.1623527556657791,0.1667802482843399,15,6,up
57,salt,1,0.08161839097738266,0.019697926938533783,1,0,up
25,cumin,1,-0.018676023930311203,0.025451162829995155,0,1,down
1,arugula,1,-0.00890679843723774,-0.021171944215893745,3,3,up
40,mustard,1,-0.030851399526000023,-0.012108496390283108,6,2,up
18,cinnamon,1,0.04379875585436821,0.07640813291072845,1,1,up
